127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/js/calendar.js, HTTP/1.1, 200, 0.026928
127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/js/web2py.js, HTTP/1.1, 200, 0.026928
127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/js/jquery.js, HTTP/1.1, 200, 0.066821
127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.027923
127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/images/favicon.ico, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-12-14 23:23:48, GET, /pymedisenm/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2022-12-14 23:24:05, GET, /pymedisenm/default/user/register, HTTP/1.1, 200, 0.041887
127.0.0.1, 2022-12-14 23:24:31, POST, /pymedisenm/default/user/register, HTTP/1.1, 303, 0.124399
127.0.0.1, 2022-12-14 23:24:31, GET, /pymedisenm/default/index, HTTP/1.1, 200, 0.017951
127.0.0.1, 2022-12-14 23:24:31, GET, /pymedisenm/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-12-14 23:24:49, GET, /admin/default/peek/pymedisenm/views/default/index.html, HTTP/1.1, 200, 0.049867
127.0.0.1, 2022-12-14 23:24:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:27:31, GET, /pymedisenm/default/index, HTTP/1.1, 200, 0.017951
127.0.0.1, 2022-12-14 23:29:25, GET, /pymedisenm/default/index, HTTP/1.1, 200, 0.012964
127.0.0.1, 2022-12-14 23:29:25, GET, /pymedisenm/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2022-12-14 23:46:59, GET, /pymedisenm/appadmin/index, HTTP/1.1, 500, 0.399160
127.0.0.1, 2022-12-14 23:46:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:47:07, GET, /pymedisenm/appadmin/index, HTTP/1.1, 500, 0.026927
127.0.0.1, 2022-12-14 23:47:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:47:11, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.021964
127.0.0.1, 2022-12-14 23:47:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:47:11, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.022958
127.0.0.1, 2022-12-14 23:47:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:47:17, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2022-12-14 23:47:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.069324
127.0.0.1, 2022-12-14 23:47:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-12-14 23:47:23, GET, /admin/default/site, HTTP/1.1, 200, 0.061951
127.0.0.1, 2022-12-14 23:47:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:47:25, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.029859
127.0.0.1, 2022-12-14 23:47:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:47:26, GET, /admin/default/site, HTTP/1.1, 200, 0.024933
127.0.0.1, 2022-12-14 23:47:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:47:28, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.019866
127.0.0.1, 2022-12-14 23:47:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:47:30, GET, /admin/default/site, HTTP/1.1, 200, 0.031914
127.0.0.1, 2022-12-14 23:47:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:47:31, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.022938
127.0.0.1, 2022-12-14 23:47:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:47:56, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.021941
